molecule_id,vp_est,total_atom_count,molecular_weight,alogp,number_of_minimal_rings,contains_ring_sugars
524144,0,189,1303.45,-0.81,10,TRUE
524146,0,178,1305.38,-5.65,10,TRUE
524147,7.980000000000001e-21,97,582.87,8.97,2,FALSE
236547,2.16e-14,68,445.6,5.15,4,FALSE
524151,7.81e-6,34,196.29,2.03,1,FALSE
524154,2.62e-17,79,570.64,3.61,6,FALSE
524155,2.34e-11,75,450.66,6.38,6,FALSE
524157,5.89e-9,53,348.44,3.02,4,FALSE
524158,2.75e-20,103,634.85,5.08,5,TRUE
524159,5.87e-11,53,352.9,4.69,2,FALSE
524160,6.35e-18,73,542.58,2.57,6,FALSE
524161,1.38e-18,79,582.6,0.51,4,FALSE
524162,2.59e-11,79,462.67,6.01,2,FALSE
524164,3.68e-8,59,376.49,3.31,4,FALSE
524166,2.63e-8,66,420.55,4.01,3,FALSE
524168,3.23e-10,70,420.59,4.67,3,FALSE
524170,3.3299999999999998e-25,53,551.38,1.22,5,FALSE
524176,6.85e-27,83,602.58,-5.64,4,TRUE
524198,0.328,26,162.23,2.32,2,FALSE
524178,3.3299999999999998e-25,53,551.38,1.22,5,FALSE
524179,0,191,1335.45,-2.87,10,TRUE
524181,0,195,1316.61,0.19,6,FALSE
524182,2.83e-12,76,418.66,5.62,4,FALSE
524183,5.389999999999999e-31,124,731.06,5.67,5,FALSE
524184,1.98e-30,113,765.9,1.39,3,FALSE
524186,1.59e-9,69,370.63,5.63,3,FALSE
524189,0,195,1316.61,0.19,6,FALSE
524190,2.74e-10,61,383.53,6.19,4,FALSE
524192,0,121,921.05,-0.54,4,FALSE
524194,1.59e-9,69,370.63,5.63,3,FALSE
524195,5.2e-21,93,550.78,4.48,2,FALSE
524202,9.52e-9,68,410.6,5.84,6,FALSE
524207,1.7000000000000002e-22,94,566.78,3.45,2,FALSE
524209,2.06e-12,61,412.95,4,3,FALSE
524213,2.39e-23,61,491.5,2.76,5,FALSE
524215,0,263,1730,-4.42,6,TRUE
241427,2.79e-9,46,311.45,2.39,3,FALSE
524219,0,248,1595.91,-1.46,5,TRUE
524220,2.83e-10,68,422.56,4.04,4,FALSE
464598,6.06e-11,23,220.12,-0.37,1,FALSE
524225,0.00151,34,196.29,3.07,1,FALSE
524226,1.19e-22,75,546.64,0.34,3,TRUE
524228,3.08e-18,63,485.54,2.25,8,FALSE
524230,1.94e-26,78,567.64,3.24,4,FALSE
524252,7.58e-7,41,262.35,3.85,2,FALSE
524232,3.78e-12,64,384.56,5.56,4,FALSE
524233,2.1999999999999994e-33,105,788.96,7.8,10,FALSE
524234,0,186,1259.44,-2.05,9,TRUE
524237,0.00603,19,156.14,0.03,1,FALSE
524238,1.37e-14,80,470.69,6.19,4,FALSE
524239,7.17e-12,92,556.78,7.03,4,FALSE
524240,1.03e-13,72,418.62,4.56,5,FALSE
524242,7.17e-12,92,556.78,7.03,4,FALSE
524243,0,189,1273.47,-1.8,9,TRUE
524244,1.61e-10,35,251.28,0.79,2,FALSE
524245,2.61e-17,60,419.53,3.99,3,FALSE
524246,9.11e-24,85,710.77,-5.59,4,FALSE
524247,1.47e-13,75,432.65,5.06,4,FALSE
524251,1.0699999999999997e-23,85,710.77,-5.74,4,FALSE
524255,1.23e-9,58,390.48,3.96,4,FALSE
524256,5.65e-28,105,701.85,3.91,7,FALSE
236550,1.2199999999999999e-23,83,518.7,3.97,0,FALSE
524259,2.78e-6,59,346.51,5.23,2,FALSE
464621,2.06e-11,26,238.14,-1.09,1,FALSE
524262,5.57e-14,80,444.7,5.89,4,FALSE
524263,1.23e-11,43,505.04,3.47,2,FALSE
524264,1.12e-13,67,503.48,6.71,3,FALSE
524266,1.55e-25,130,670.12,10.32,0,FALSE
524268,2.49e-13,76,418.66,5.47,4,FALSE
524269,1.13e-23,134,740.17,12.57,2,FALSE
524270,0,169,1201.46,0.79,7,FALSE
524273,3.4e-18,81,512.7,4.08,2,FALSE
524279,1.09e-35,140,1024.06,8.76,7,FALSE
524280,2.65e-9,60,362.51,4.03,3,FALSE
524282,3.77e-15,71,522.55,1.13,5,FALSE
524283,0.00702,27,152.24,1.97,2,FALSE
524284,1.37e-11,86,562.7,5.21,3,FALSE
241494,4.9e-10,52,319.45,3.5,3,FALSE
524288,5.17e-15,77,434.66,4.45,4,FALSE
524289,5.66e-14,70,476.57,3.01,4,FALSE
524290,3.79e-9,62,364.53,4.26,3,FALSE
524291,6.62e-19,51,434.54,0.29,5,FALSE
524292,1.6e-19,87,544.73,5.47,2,FALSE
524294,1.06e-18,100,642.83,7.01,2,FALSE
524295,5.02e-33,127,889,3.64,5,FALSE
667991,1.14e-16,50,416.38,1.51,3,FALSE
524301,2.65e-10,69,426.6,5.96,5,FALSE
524302,2.94e-19,47,404.51,1.3,4,FALSE
524304,8.22e-34,122,770.03,2.5,2,FALSE
524305,4.7499999999999994e-24,93,740.84,-4.88,4,FALSE
524306,8.31e-18,72,500.59,3.47,5,TRUE
524308,8.98e-16,91,548.76,5.73,4,FALSE
524309,2.75e-14,60,410.51,6.42,3,FALSE
524312,4.34e-13,71,501.02,4.16,1,FALSE
524313,1.07e-11,63,440.96,4.4,1,FALSE
524319,1.04e-16,68,482.53,0.54,4,FALSE
524320,4.59e-14,82,446.72,5.97,4,FALSE
524322,6.13e-12,80,440.71,7.06,5,FALSE
524323,3.34e-14,80,444.7,5.74,4,FALSE
524330,8.07e-16,71,556.99,1.06,5,FALSE
236554,6.03e-30,99,690.78,5.23,3,TRUE
524331,1.47e-11,84,462.77,7.72,5,FALSE
524332,2.58e-14,71,428.61,4.64,4,FALSE
524334,1.79e-14,82,622.62,1.24,5,FALSE
524337,4.62e-12,61,434.49,3.09,2,FALSE
524341,7.2e-12,71,410.6,5.35,3,FALSE
