molecule_id,cluster_e,cluster_a,aop_oh_half_life_hours,is_stable
6475,3,7,55.092,TRUE
6478,3,7,2.22,TRUE
6479,3,7,629.172,TRUE
6481,3,7,3.4319999999999995,TRUE
6488,3,7,5.832,TRUE
6499,3,7,46.452,TRUE
6515,3,7,1.02,TRUE
6518,3,7,4.308,TRUE
6530,3,7,0.636,TRUE
6538,3,7,7.848000000000001,TRUE
6545,3,7,0.792,TRUE
6564,3,7,6.851999999999999,TRUE
6577,3,7,0.948,TRUE
6617,3,7,0.896,TRUE
37374,3,7,1.236,TRUE
6633,3,7,1.719,TRUE
6657,3,7,2.736,TRUE
6659,2_1,7,0.636,TRUE
6671,3,7,1.068,TRUE
6688,3,7,13.812,TRUE
6693,3,7,1.7279999999999998,TRUE
6694,8,7,3.444,TRUE
6698,3,7,179.112,TRUE
6712,3,7,4.584,TRUE
6737,3,7,47.58,TRUE
6738,3,7,1.7279999999999998,TRUE
6767,2_1,7,0.54,TRUE
6776,3,7,558.048,TRUE
6839,3,7,3.108,TRUE
6851,3,7,4.295999999999999,TRUE
6853,3,7,1.152,TRUE
6858,3,7,1.152,TRUE
6878,3,7,10.38,TRUE
6918,3,7,4.6080000000000005,TRUE
6920,3,7,1.092,TRUE
6927,8,7,9.168,TRUE
6929,3,7,2.268,TRUE
6952,3,7,2.736,TRUE
6965,5_3,4,0.72,TRUE
6995,3,7,1.296,TRUE
7005,3,7,51.672,TRUE
7426,3,7,1.392,TRUE
7472,3,7,1.128,TRUE
7738,3,7,0.516,TRUE
7748,3,7,0.5880000000000001,TRUE
7753,3,7,0.8879999999999999,TRUE
7759,3,7,1.896,TRUE
7821,3,7,0.853,TRUE
37758,3,7,3.104,TRUE
37772,3,7,0.732,TRUE
7964,8,7,0.708,TRUE
54096,2_1,7,1.404,TRUE
2581,3,7,6.612,TRUE
3270,3,7,4.584,TRUE
3567,3,7,2.7840000000000003,TRUE
3696,3,7,3.588,TRUE
4179,3,7,7.188,TRUE
4206,3,7,33.983999999999995,TRUE
4309,3,7,11.76,TRUE
4850,3,7,3.012,TRUE
4983,2_1,7,1.836,TRUE
5197,3,7,15.456,TRUE
30199,3,7,5.076,TRUE
5233,3,7,1.032,TRUE
5248,3,7,1.068,TRUE
5266,3,7,2.232,TRUE
5743,3,7,3.144,TRUE
5766,3,7,7.416,TRUE
5285,3,7,1.056,TRUE
5313,3,7,1.404,TRUE
5333,3,7,2.508,TRUE
5334,3,7,3.888,TRUE
5574,3,7,1.896,TRUE
5592,3,7,2.481,TRUE
5674,3,7,1.2000000000000002,TRUE
5838,3,7,11.832,TRUE
5861,3,7,2.688,TRUE
5938,3,7,3.84,TRUE
5966,3,7,11.856,TRUE
6008,3,7,18.504,TRUE
6070,3,7,81.99600000000001,TRUE
6134,2_1,7,15.035999999999998,TRUE
37102,3,7,1.38,TRUE
6162,3,7,62.06399999999999,TRUE
6165,3,7,30.732,TRUE
6169,3,7,3.24,TRUE
6201,3,7,1.668,TRUE
6299,3,7,5.484,TRUE
6396,8,7,9.288,TRUE
6449,8,7,11.412,TRUE
6469,3,7,103.344,TRUE
6506,3,7,1.98,TRUE
6910,3,7,3.72,TRUE
6911,3,7,2.364,TRUE
6917,2_1,7,33.588,TRUE
6983,3,7,2.28,TRUE
7735,3,7,1.368,TRUE
65960,3,7,1.056,TRUE
68140,3,7,8.591999999999999,TRUE
86418,3,7,2.1239999999999997,TRUE
120891,3,7,1.6800000000000002,TRUE
122218,3,7,8.267999999999999,TRUE
15185,3,7,10.488,TRUE
37131,3,7,4.692,TRUE
37195,2_1,7,1.056,TRUE
39114,3,7,4.692,TRUE
44148,2_1,7,0.756,TRUE
52304,3,7,5.9399999999999995,TRUE
54383,3,7,2.184,TRUE
63051,3,7,1.392,TRUE
72581,3,7,20.868,TRUE
92647,3,7,0.504,TRUE
93731,3,7,1.068,TRUE
143528,3,7,0.8280000000000001,TRUE
148173,3,7,1.44,TRUE
666782,3,7,1.5,TRUE
695223,3,7,1.296,TRUE
256263,3,7,1.164,TRUE
515582,3,7,3.072,TRUE
517314,3,7,3.264,TRUE
678113,3,7,0.672,TRUE
527711,3,7,3.624,TRUE
313096,3,7,1.452,TRUE
269639,3,7,1.164,TRUE
535422,3,7,3.636,TRUE
519829,3,7,4.848000000000001,TRUE
536202,3,7,2.184,TRUE
124764,2_1,7,9.42,TRUE
547325,3,7,1.248,TRUE
547562,3,7,8.975999999999999,TRUE
696796,3,7,7.572,TRUE
89531,3,7,2.4000000000000004,TRUE
562658,3,7,0.72,TRUE
576706,3,7,0.516,TRUE
598891,3,7,7.032,TRUE
599479,3,7,0.924,TRUE
